name,params,tokens
Custom,,
Cerebras-GPT 111M,0.11,2.2
Cerebras-GPT 256M,0.26,5.1
Cerebras-GPT 590M,0.59,12
Cerebras-GPT 1.3B,1.3,26
Cerebras-GPT 2.7B,2.7,54
Cerebras-GPT 6.7B,6.7,134
Cerebras-GPT 13B,13,260
Chinchilla,70,1400
GPT-3 175B,175,300
LLaMA 7B,7,1000
LLaMA 13B,13,1000
LLaMA 32B,32,1000
LLaMA 65B,65.2,1400
PaLM 1,540,780
PaLM 2,340,3600
Pythia 70M,0.07,300
Pythia 160M,0.16,300
Pythia 410M,0.41,300
Pythia 1B,1,300
Pythia 1.4B,1.4,300
Pythia 2.8B,2.8,300
Pythia 6.9B,6.9,300
Pythia 12B,12,300
RedPajama 3B,3,800
RedPajama 7B,7,800
StableLM 3B,3,1500
StableLM 7B,7,1500